BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
1904;Bezirk Brugg;19;3;14511;647205;661767;251308;268547;654700;258800;325;800;467;453;2647205;2661767;1251308;1268547;2654700;1258800
1905;Bezirk Kulm;19;3;9727;644120;659133;230370;243289;652700;237400;432;872;579;573;2644120;2659133;1230370;1243289;2652700;1237400
1906;Bezirk Laufenburg;19;3;15674;637807;655906;253219;271946;646100;262700;289;870;466;462;2637807;2655906;1253219;1271946;2646100;1262700
1907;Bezirk Lenzburg;19;3;9810;650211;662055;236022;254892;656200;246500;345;713;462;448;2650211;2662055;1236022;1254892;2656200;1246500
1908;Bezirk Muri;19;3;13895;661726;674061;221173;244270;669000;233300;376;855;502;469;2661726;2674061;1221173;1244270;2669000;1233300
1909;Bezirk Rheinfelden;19;3;11186;620698;641083;259078;271001;632100;265200;255;750;401;377;2620698;2641083;1259078;1271001;2632100;1265200
1910;Bezirk Zofingen;19;3;14201;629249;649383;231361;244523;638800;237200;389;713;497;483;2629249;2649383;1231361;1244523;2638800;1237200
1911;Bezirk Zurzach;19;3;13001;653961;674275;262096;274772;663900;268200;300;612;429;423;2653961;2674275;1262096;1274772;2663900;1268200
2011;Bezirk Arbon;20;5;8907;736168;753596;260086;273958;743400;267300;394;598;447;441;2736168;2753596;1260086;1273958;2743400;1267300
2012;Bezirk Frauenfeld;20;5;27961;692317;720577;262878;283504;708800;273900;368;721;485;467;2692317;2720577;1262878;1283504;2708800;1273900
2013;Bezirk Kreuzlingen;20;5;12917;718781;741010;270413;281816;729200;276200;394;722;508;514;2718781;2741010;1270413;1281816;2729200;1276200
2014;Bezirk Münchwilen;20;5;13819;708725;724914;248320;266561;715500;258600;422;991;601;579;2708725;2724914;1248320;1266561;2715500;1258600
2015;Bezirk Weinfelden;20;5;22708;717314;741841;259769;276131;728600;267200;404;775;514;507;2717314;2741841;1259769;1276131;2728600;1267200
2101;Distretto di Bellinzona;21;7;22633;714029;732911;108218;128601;722300;117400;199;2725;993;989;2714029;2732911;1108218;1128601;2722300;1117400
2102;Distretto di Blenio;21;7;36058;701992;727972;137168;165700;716300;150900;349;3400;1825;1894;2701992;2727972;1137168;1165700;2716300;1150900
2103;Distretto di Leventina;21;7;47955;672484;717542;129186;160092;697700;147800;285;3153;1816;1912;2672484;2717542;1129186;1160092;2697700;1147800
2104;Distretto di Locarno;21;7;55058;679075;716040;103633;140245;697500;112600;193;2862;1252;1255;2679075;2716040;1103633;1140245;2697500;1112600
2105;Distretto di Lugano;21;7;30795;704392;727695;85236;111689;716400;99900;232;2227;790;701;2704392;2727695;1085236;1111689;2716400;1099900
2106;Distretto di Mendrisio;21;7;10076;714496;728088;75268;88162;721000;81800;221;1614;608;561;2714496;2728088;1075268;1088162;2721000;1081800
2107;Distretto di Riviera;21;7;14560;712493;727489;123533;140011;720000;132200;244;2954;1409;1515;2712493;2727489;1123533;1140011;2720000;1132200
2108;Distretto di Vallemaggia;21;7;56938;676209;705045;116223;150574;689900;133800;243;3270;1657;1721;2676209;2705045;1116223;1150574;2689900;1133800
2221;District d'Aigle;22;1;43499;555406;583943;115149;143632;570300;130400;370;3209;1333;1419;2555406;2583943;1115149;1143632;2570300;1130400
2222;District de la Broye-Vully;22;1;25801;544158;573697;159120;203493;558600;180900;429;927;577;542;2544158;2573697;1159120;1203493;2558600;1180900
2223;District du Gros-de-Vaud;22;1;23220;528717;551675;156947;177224;539900;166900;394;916;659;647;2528717;2551675;1156947;1177224;2539900;1166900
2224;District du Jura-Nord vaudois;22;1;70099;498191;551074;153188;198584;527800;176700;427;1650;890;906;2498191;2551074;1153188;1198584;2527800;1176700
2225;District de Lausanne;22;1;6515;533834;544978;150655;161555;539000;156300;372;930;671;668;2533834;2544978;1150655;1161555;2539000;1156300
2226;District de Lavaux-Oron;22;1;14002;538654;558873;146951;163356;548500;154500;371;986;711;719;2538654;2558873;1146951;1163356;2548500;1154500
2227;District de Morges;22;1;37307;507955;533557;145815;171529;521500;158200;371;1679;704;628;2507955;2533557;1145815;1171529;2521500;1158200
2228;District de Nyon;22;1;30735;494306;518659;127832;155695;504800;144300;369;1677;852;776;2494306;2518659;1127832;1155695;2504800;1144300
2229;District de l'Ouest lausannois;22;1;2634;530091;536651;151029;159629;533300;154900;372;612;443;426;2530091;2536651;1151029;1159629;2533300;1154900
2230;District de la Riviera-Pays-d'Enhaut;22;1;28292;550752;585462;136032;155886;571200;145900;371;2547;1280;1317;2550752;2585462;1136032;1155886;2571200;1145900
2301;Bezirk Brig;23;1;43419;633080;656165;105559;146566;644900;125700;649;4192;2157;2191;2633080;2656165;1105559;1146566;2644900;1125700
2302;District de Conthey;23;1;23420;576220;594584;101000;129470;586900;117700;469;3334;1707;1765;2576220;2594584;1101000;1129470;2586900;1117700
2303;District d'Entremont;23;1;63295;566655;603834;78560;108038;583400;92700;628;4312;2301;2358;2566655;2603834;1078560;1108038;2583400;1092700
2304;Bezirk Goms;23;1;58921;637908;679787;128628;167428;659600;147600;867;4273;2444;2466;2637908;2679787;1128628;1167428;2659600;1147600
2305;District d'Hérens;23;1;46606;592702;613417;89268;137198;601600;107400;506;4356;2321;2419;2592702;2613417;1089268;1137198;2601600;1107400
2306;Bezirk Leuk;23;1;33527;606919;624987;106619;143767;617400;127600;533;4190;2018;2192;2606919;2624987;1106619;1143767;2617400;1127600
2307;District de Martigny;23;1;26337;562048;588942;92198;120691;574800;107300;450;3540;1444;1427;2562048;2588942;1092198;1120691;2574800;1107300
2308;District de Monthey;23;1;25678;548579;564572;108834;138332;556500;122900;371;3253;1292;1399;2548579;2564572;1108834;1138332;2556500;1122900
2309;Bezirk Raron;23;1;39816;619248;659117;118713;149776;628800;135600;626;4194;2097;2160;2619248;2659117;1118713;1149776;2628800;1135600
2310;District de Saint-Maurice;23;1;19058;553842;572937;99148;122979;563900;109900;392;3254;1685;1886;2553842;2572937;1099148;1122979;2563900;1109900
2311;District de Sierre;23;1;41838;597874;621452;97328;137520;609700;117900;493;4497;2027;2139;2597874;2621452;1097328;1137520;2609700;1117900
2312;District de Sion;23;1;13066;581673;598968;114067;135984;592100;125600;477;3198;1575;1615;2581673;2598968;1114067;1135984;2592100;1125600
2313;Bezirk Visp;23;1;86420;610566;646197;85106;140944;631300;105900;636;4632;2596;2688;2610566;2646197;1085106;1140944;2631300;1105900
2400;Canton de Neuchâtel;24;2;71674;523392;573336;188830;224027;548900;205800;421;1550;969;1036;2523392;2573336;1188830;1224027;2548900;1205800
2500;Canton de Genève;25;1;24580;485410;512974;109645;135578;498500;118800;331;517;426;425;2485410;2512974;1109645;1135578;2498500;1118800
2601;District de Delémont;26;2;30318;576140;609051;237043;254368;591900;244400;383;1293;665;646;2576140;2609051;1237043;1254368;2591900;1244400
2602;District des Franches-Montagnes;26;2;20023;554671;579696;222309;242815;568100;233200;443;1185;923;975;2554671;2579696;1222309;1242815;2568100;1233200
2603;District de Porrentruy;26;2;33510;557722;585488;240328;261608;572800;251200;364;981;569;535;2557722;2585488;1240328;1261608;2572800;1251200
